Société,Secteur
AccorHotels,"Hôtellerie, Tourisme"
Air liquide,Gaz industriel
Airbus,"Aéronautique, Défense"
ArcelorMittal,"Acier, Matériau de construction"
Atos,"Technologies, Services informatiques"
Axa,"Assurance, Services financiers"
BNP Paribas,"Banque, Services financiers, Assurance"
Bouygues,"BTP, Immobilier, Médias, Télécommunications"
Capgemini,Services informatiques
Carrefour,Distribution
Crédit agricole,"Banque, Services financiers, Assurance"
Danone,Agroalimentaire
Engie,"Énergie, Gaz industriel, Industrie pétrolière"
Essilor,Optique
Hermès International,Luxe
Kering,Luxe
Legrand,Matériel électrique
L'Oréal,Cosmétique
LVMH,Luxe
Michelin,"Pneumatique, Tourisme, Gastronomie, Équipementier automobile"
Orange,"Télécommunication, Banque"
Pernod Ricard,Spiritueux
Groupe PSA,"Automobile, Équipementier automobile"
Publicis Groupe,"Publicité, Médias"
Renault,Automobile
Safran,Aéronautique défense
Saint-Gobain,"Matériaux de construction, Verre"
Sanofi,Pharmacie
Schneider Electric,Matériel électrique
Société générale,"Banque, Services financiers, Assurance"
Sodexo,"Restauration collective, Société de services, Gastronomie"
Dassault Systèmes,"Services informatiques, Technologies"
STMicroelectronics,Technologies
TechnipFMC,"Industrie pétrolière, Gaz industriel"
Thales,Équipementier aéronautique
Total,"Industrie pétrolière, Gaz industriel"
Unibail-Rodamco,Immobilier
Veolia,"Services collectifs, Énergie"
Vinci,"BTP, Télécommunications"
Vivendi,"Médias, Publicité, Télécommunications"